PAY ITEM,"CODED PAY ITEMS FOR THE Jan 17, 2020 LETTING DESCRIPTION",UNIT,ABBREVIATION,S
28000200,EARTH EXCAVATION FOR EROSION CONTROL,CU YD  ,EARTH EXC - EROS CONT,
28000250,TEMPORARY EROSION CONTROL SEEDING,POUND  ,TEMP EROS CONTR SEED,
28000305,TEMPORARY DITCH CHECKS,FOOT   ,TEMP DITCH CHECKS,
28000315,AGGREGATE DITCH CHECKS,TON    ,AGG DITCH CHECKS,
28000400,PERIMETER EROSION BARRIER,FOOT   ,PERIMETER EROS BAR,
28000500,INLET AND PIPE PROTECTION,EACH   ,INLET & PIPE PROTECT,
28000510,INLET FILTERS,EACH   ,INLET FILTERS,
28001000,AGGREGATE (EROSION CONTROL),TON    ,AGGREGATE - EROS CONT,
28001100,TEMPORARY EROSION CONTROL BLANKET,SQ YD  ,TEMP EROS CONTR BLANK,
28001200,TEMPORARY HEAVY DUTY EROSION CONTROL BLANKET,SQ YD  ,TEMP HD EROS CONTR BL,
28100101,"STONE RIPRAP, CLASS A1",SQ YD  ,STONE RIPRAP CL A1,
28100103,"STONE RIPRAP, CLASS A2",SQ YD  ,STONE RIPRAP CL A2,
28100105,"STONE RIPRAP, CLASS A3",SQ YD  ,STONE RIPRAP CL A3,
28100107,"STONE RIPRAP, CLASS A4",SQ YD  ,STONE RIPRAP CL A4,
28100109,"STONE RIPRAP, CLASS A5",SQ YD  ,STONE RIPRAP CL A5,
28100111,"STONE RIPRAP, CLASS A6",SQ YD  ,STONE RIPRAP CL A6,
28100113,"STONE RIPRAP, CLASS A7",SQ YD  ,STONE RIPRAP CL A7,
28100125,"STONE RIPRAP, CLASS B3",SQ YD  ,STONE RIPRAP CL B3,
28100127,"STONE RIPRAP, CLASS B4",SQ YD  ,STONE RIPRAP CL B4,
28100129,"STONE RIPRAP, CLASS B5",SQ YD  ,STONE RIPRAP CL B5,
28100201,"STONE RIPRAP, CLASS A1",TON    ,STONE RIPRAP CL A1,
28100203,"STONE RIPRAP, CLASS A2",TON    ,STONE RIPRAP CL A2,
28100205,"STONE RIPRAP, CLASS A3",TON    ,STONE RIPRAP CL A3,
28100207,"STONE RIPRAP, CLASS A4",TON    ,STONE RIPRAP CL A4,
28100209,"STONE RIPRAP, CLASS A5",TON    ,STONE RIPRAP CL A5,
28100211,"STONE RIPRAP, CLASS A6",TON    ,STONE RIPRAP CL A6,
28100213,"STONE RIPRAP, CLASS A7",TON    ,STONE RIPRAP CL A7,
28100225,"STONE RIPRAP, CLASS B3",TON    ,STONE RIPRAP CL B3,
28100227,"STONE RIPRAP, CLASS B4",TON    ,STONE RIPRAP CL B4,
28100229,"STONE RIPRAP, CLASS B5",TON    ,STONE RIPRAP CL B5,
28100500,BROKEN CONCRETE RIPRAP,SQ YD  ,BROKEN CONC RIPRAP,
28100505,BROKEN CONCRETE RIPRAP,TON    ,BROKEN CONC RIPRAP,
28100630,BROKEN CONCRETE DUMPED RIPRAP,SQ YD  ,BKN CONC DUMP RIPRAP,
28100635,BROKEN CONCRETE DUMPED RIPRAP,TON    ,BKN CONC DUMP RIPRAP,
28100701,"STONE DUMPED RIPRAP, CLASS A1",SQ YD  ,STONE DUMP RIP CL A1,
28100703,"STONE DUMPED RIPRAP, CLASS A2",SQ YD  ,STONE DUMP RIP CL A2,
28100705,"STONE DUMPED RIPRAP, CLASS A3",SQ YD  ,STONE DUMP RIP CL A3,
28100707,"STONE DUMPED RIPRAP, CLASS A4",SQ YD  ,STONE DUMP RIP CL A4,
28100709,"STONE DUMPED RIPRAP, CLASS A5",SQ YD  ,STONE DUMP RIP CL A5,
28100711,"STONE DUMPED RIPRAP, CLASS A6",SQ YD  ,STONE DUMP RIP CL A6,
28100713,"STONE DUMPED RIPRAP, CLASS A7",SQ YD  ,STONE DUMP RIP CL A7,
28100725,"STONE DUMPED RIPRAP, CLASS B3",SQ YD  ,STONE DUMP RIP CL B3,
28100727,"STONE DUMPED RIPRAP, CLASS B4",SQ YD  ,STONE DUMP RIP CL B4,
28100801,"STONE DUMPED RIPRAP, CLASS A1",TON    ,STONE DUMP RIP CL A1,
28100803,"STONE DUMPED RIPRAP, CLASS A2",TON    ,STONE DUMP RIP CL A2,
28100805,"STONE DUMPED RIPRAP, CLASS A3",TON    ,STONE DUMP RIP CL A3,
28100807,"STONE DUMPED RIPRAP, CLASS A4",TON    ,STONE DUMP RIP CL A4,
28100809,"STONE DUMPED RIPRAP, CLASS A5",TON    ,STONE DUMP RIP CL A5,
28100811,"STONE DUMPED RIPRAP, CLASS A6",TON    ,STONE DUMP RIP CL A6,
28100813,"STONE DUMPED RIPRAP, CLASS A7",TON    ,STONE DUMP RIP CL A7,
28100825,"STONE DUMPED RIPRAP, CLASS B3",TON    ,STONE DUMP RIP CL B3,
28100830,"STONE DUMPED RIPRAP, CLASS B4",TON    ,STONE DUMP RIP CL B4,
28100835,"STONE DUMPED RIPRAP, CLASS B5",TON    ,STONE DUMP RIP CL B5,
28200200,FILTER FABRIC,SQ YD  ,FILTER FABRIC,
28300400,AGGREGATE DITCH,TON    ,AGGREGATE DITCH,
28400100,GABIONS,CU YD  ,GABIONS,
28400400,"SLOPE MATTRESS  6""",SQ YD  ,SLOPE MATTRESS  6,
28400700,"SLOPE MATTRESS  9""",SQ YD  ,SLOPE MATTRESS  9,
28401000,"SLOPE MATTRESS 12""",SQ YD  ,SLOPE MATTRESS 12,
28401600,"SLOPE MATTRESS 18""",SQ YD  ,SLOPE MATTRESS 18,
28401700,"SLOPE MATTRESS 24""",SQ YD  ,SLOPE MATTRESS 24,
28500100,FABRIC FORMED CONCRETE REVETMENT MAT,SQ YD  ,FAB FORM CONC REV MAT,
28500200,PRECAST BLOCK REVETMENT MAT,SQ YD  ,PREC BLOCK REV MAT,
28500400,ARTICULATED BLOCK REVETMENT MAT,SQ YD  ,ARTICUL BLOCK REV MAT,
30103000,SHAPING AND GRADING ROADWAY,UNIT   ,SHAPING & GRAD RDWAY,
30200150,"PROCESSING MODIFIED SOIL  6""",SQ YD  ,PROCESS MOD SOIL  6,
30200250,"PROCESSING MODIFIED SOIL  7""",SQ YD  ,PROCESS MOD SOIL  7,
30200350,"PROCESSING MODIFIED SOIL  8""",SQ YD  ,PROCESS MOD SOIL  8,
30200450,"PROCESSING MODIFIED SOIL  9""",SQ YD  ,PROCESS MOD SOIL  9,
30200550,"PROCESSING MODIFIED SOIL 10""",SQ YD  ,PROCESS MOD SOIL 10,
30200650,"PROCESSING MODIFIED SOIL 12""",SQ YD  ,PROCESS MOD SOIL 12,
30200750,"PROCESSING MODIFIED SOIL 14""",SQ YD  ,PROCESS MOD SOIL 14,
30200850,"PROCESSING MODIFIED SOIL 16""",SQ YD  ,PROCESS MOD SOIL 16,
30200950,"PROCESSING MODIFIED SOIL 18""",SQ YD  ,PROCESS MOD SOIL 18,
30201050,"PROCESSING MODIFIED SOIL 20""",SQ YD  ,PROCESS MOD SOIL 20,
30201250,"PROCESSING MODIFIED SOIL 24""",SQ YD  ,PROCESS MOD SOIL 24,
30201350,PROCESSING MODIFIED SOIL (VARIABLE DEPTH),SQ YD  ,PROCESS M SOIL VAR DP,*
30201500,LIME,TON    ,LIME,
30201600,FLY ASH,TON    ,FLY ASH,
30201700,PORTLAND CEMENT,TON    ,PORTLAND CEMENT,
30201800,SLAG-MODIFIED PORTLAND CEMENT,TON    ,SLAG-MOD PORT CEMENT,
30300001,AGGREGATE SUBGRADE IMPROVEMENT,CU YD  ,AGG SUBGRADE IMPROVE,*
30300011,AGGREGATE SUBGRADE IMPROVEMENT,TON    ,AGG SUBGRADE IMPROVE,*
30300104,"AGGREGATE SUBGRADE IMPROVEMENT  4""",SQ YD  ,AGG SUBGRADE IMPR   4,*
30300106,"AGGREGATE SUBGRADE IMPROVEMENT  6""",SQ YD  ,AGG SUBGRADE IMPR   6,*
30300108,"AGGREGATE SUBGRADE IMPROVEMENT  8""",SQ YD  ,AGG SUBGRADE IMPR   8,*
30300110,"AGGREGATE SUBGRADE IMPROVEMENT 10""",SQ YD  ,AGG SUBGRADE IMPR  10,*
30300112,"AGGREGATE SUBGRADE IMPROVEMENT 12""",SQ YD  ,AGG SUBGRADE IMPR  12,*
30300115,"AGGREGATE SUBGRADE IMPROVEMENT 15""",SQ YD  ,AGG SUBGRADE IMPR  15,*
30300116,"AGGREGATE SUBGRADE IMPROVEMENT 16""",SQ YD  ,AGG SUBGRADE IMPR  16,*
30300118,"AGGREGATE SUBGRADE IMPROVEMENT 18""",SQ YD  ,AGG SUBGRADE IMPR  18,*
30300121,"AGGREGATE SUBGRADE IMPROVEMENT 21""",SQ YD  ,AGG SUBGRADE IMPR  21,*
30300124,"AGGREGATE SUBGRADE IMPROVEMENT 24""",SQ YD  ,AGG SUBGRADE IMPR  24,*
30300127,"AGGREGATE SUBGRADE IMPROVEMENT 27""",SQ YD  ,AGG SUBGRADE IMPR  27,*
31000100,"PROCESSING LIME STABILIZED SOIL MIXTURE  6""",SQ YD  ,PR LIM STAB SOIL M  6,
31000200,"PROCESSING LIME STABILIZED SOIL MIXTURE  7""",SQ YD  ,PR LIM STAB SOIL M  7,
31000300,"PROCESSING LIME STABILIZED SOIL MIXTURE  8""",SQ YD  ,PR LIM STAB SOIL M  8,
31000400,"PROCESSING LIME STABILIZED SOIL MIXTURE  9""",SQ YD  ,PR LIM STAB SOIL M  9,
31000500,"PROCESSING LIME STABILIZED SOIL MIXTURE 10""",SQ YD  ,PR LIM STAB SOIL M 10,
31000600,"PROCESSING LIME STABILIZED SOIL MIXTURE 12""",SQ YD  ,PR LIM STAB SOIL M 12,
31000700,"PROCESSING LIME STABILIZED SOIL MIXTURE 14""",SQ YD  ,PR LIM STAB SOIL M 14,
31000800,"PROCESSING LIME STABILIZED SOIL MIXTURE 16""",SQ YD  ,PR LIM STAB SOIL M 16,
31000900,"PROCESSING LIME STABILIZED SOIL MIXTURE 18""",SQ YD  ,PR LIM STAB SOIL M 18,
31001000,"PROCESSING LIME STABILIZED SOIL MIXTURE 20""",SQ YD  ,PR LIM STAB SOIL M 20,
31001300,PROCESSING LIME STABILIZED SOIL MIXTURE (VARIABLE DEPTH),SQ YD  ,PR LIM STB SOIL M VAR,*
31001500,LIME,TON    ,LIME,
31001900,"PROCESSING LIME STABILIZED SOIL MIXTURE 36""",SQ YD  ,PR LIM STAB SOIL M 36,
31100100,"SUBBASE GRANULAR MATERIAL, TYPE A",TON    ,SUB GRAN MAT A,
31100200,"SUBBASE GRANULAR MATERIAL, TYPE A",CU YD  ,SUB GRAN MAT A,
31100300,"SUBBASE GRANULAR MATERIAL, TYPE A  4""",SQ YD  ,SUB GRAN MAT A  4,
31100400,"SUBBASE GRANULAR MATERIAL, TYPE A  5""",SQ YD  ,SUB GRAN MAT A  5,
31100500,"SUBBASE GRANULAR MATERIAL, TYPE A  6""",SQ YD  ,SUB GRAN MAT A  6,
31100600,"SUBBASE GRANULAR MATERIAL, TYPE A  7""",SQ YD  ,SUB GRAN MAT A  7,
31100700,"SUBBASE GRANULAR MATERIAL, TYPE A  8""",SQ YD  ,SUB GRAN MAT A  8,
31100800,"SUBBASE GRANULAR MATERIAL, TYPE A  9""",SQ YD  ,SUB GRAN MAT A  9,
31100850,"SUBBASE GRANULAR MATERIAL, TYPE A 9 1/2""",SQ YD  ,"SUB GRAN MAT A 9 1/2""",*
31100900,"SUBBASE GRANULAR MATERIAL, TYPE A 10""",SQ YD  ,SUB GRAN MAT A 10,
31100910,"SUBBASE GRANULAR MATERIAL, TYPE A 12""",SQ YD  ,SUB GRAN MAT A 12,
31101000,"SUBBASE GRANULAR MATERIAL, TYPE B",TON    ,SUB GRAN MAT B,
31101100,"SUBBASE GRANULAR MATERIAL, TYPE B",CU YD  ,SUB GRAN MAT B,
31101180,"SUBBASE GRANULAR MATERIAL, TYPE B  2""",SQ YD  ,SUB GRAN MAT B  2,
31101195,"SUBBASE GRANULAR MATERIAL, TYPE B 3 1/2""",SQ YD  ,SUB GRAN MAT B  3 1/2,
31101200,"SUBBASE GRANULAR MATERIAL, TYPE B  4""",SQ YD  ,SUB GRAN MAT B  4,
31101250,"SUBBASE GRANULAR MATERIAL, TYPE B 4 1/2""",SQ YD  ,SUB GRAN MAT B  4 1/2,
31101300,"SUBBASE GRANULAR MATERIAL, TYPE B  5""",SQ YD  ,SUB GRAN MAT B  5,
31101400,"SUBBASE GRANULAR MATERIAL, TYPE B  6""",SQ YD  ,SUB GRAN MAT B  6,
31101500,"SUBBASE GRANULAR MATERIAL, TYPE B  7""",SQ YD  ,SUB GRAN MAT B  7,
31101600,"SUBBASE GRANULAR MATERIAL, TYPE B  8""",SQ YD  ,SUB GRAN MAT B  8,
31101700,"SUBBASE GRANULAR MATERIAL, TYPE B  9""",SQ YD  ,SUB GRAN MAT B  9,
31101800,"SUBBASE GRANULAR MATERIAL, TYPE B 10""",SQ YD  ,SUB GRAN MAT B 10,
31101810,"SUBBASE GRANULAR MATERIAL, TYPE B 12""",SQ YD  ,SUB GRAN MAT B 12,
31101860,"SUBBASE GRANULAR MATERIAL, TYPE B 24""",SQ YD  ,SUB GRAN MAT B 24,
31101900,"SUBBASE GRANULAR MATERIAL, TYPE C",TON    ,SUB GRAN MAT C,
31102000,"SUBBASE GRANULAR MATERIAL, TYPE C",CU YD  ,SUB GRAN MAT C,
31102100,"SUBBASE GRANULAR MATERIAL, TYPE C  4""",SQ YD  ,SUB GRAN MAT C  4,
31102150,"SUBBASE GRANULAR MATERIAL, TYPE C 4 1/2""",SQ YD  ,SUB GRAN MAT C  4 1/2,
31102200,"SUBBASE GRANULAR MATERIAL, TYPE C  5""",SQ YD  ,SUB GRAN MAT C  5,
31102300,"SUBBASE GRANULAR MATERIAL, TYPE C  6""",SQ YD  ,SUB GRAN MAT C  6,
31102400,"SUBBASE GRANULAR MATERIAL, TYPE C  7""",SQ YD  ,SUB GRAN MAT C  7,
31102500,"SUBBASE GRANULAR MATERIAL, TYPE C  8""",SQ YD  ,SUB GRAN MAT C  8,
31102600,"SUBBASE GRANULAR MATERIAL, TYPE C  9""",SQ YD  ,SUB GRAN MAT C  9,
31102700,"SUBBASE GRANULAR MATERIAL, TYPE C 10""",SQ YD  ,SUB GRAN MAT C 10,
31102712,"SUBBASE GRANULAR MATERIAL, TYPE C 12""",SQ YD  ,SUB GRAN MAT C 12,
31200100,"STABILIZED SUBBASE 4""",SQ YD  ,STAB SUBBASE 4,
31200105,"STABILIZED SUBBASE 5""",SQ YD  ,STAB SUBBASE 5,
31200110,"STABILIZED SUBBASE 6""",SQ YD  ,STAB SUBBASE 6,
31200500,"STABILIZED SUBBASE - HOT-MIX ASPHALT, 4""",SQ YD  ,STAB SUBBASE HMA    4,
31200502,"STABILIZED SUBBASE - HOT-MIX ASPHALT, 4 1/2""",SQ YD  ,STAB SUBBASE HMA  4.5,
31200800,"STABILIZED SUBBASE - CEMENT AGGREGATE MIXTURE II,   4""",SQ YD  ,STAB SUBBASE CAMII  4,
35100100,"AGGREGATE BASE COURSE, TYPE A",TON    ,AGG BASE CSE A,
35100110,"AGGREGATE BASE COURSE, TYPE A",CU YD  ,AGG BASE CSE A,
35100120,"AGGREGATE BASE COURSE, TYPE A  2""",SQ YD  ,AGG BASE CSE A  2,
35100300,"AGGREGATE BASE COURSE, TYPE A  4""",SQ YD  ,AGG BASE CSE A  4,
35100400,"AGGREGATE BASE COURSE, TYPE A  5""",SQ YD  ,AGG BASE CSE A  5,
35100500,"AGGREGATE BASE COURSE, TYPE A  6""",SQ YD  ,AGG BASE CSE A  6,
35100600,"AGGREGATE BASE COURSE, TYPE A  7""",SQ YD  ,AGG BASE CSE A  7,
35100700,"AGGREGATE BASE COURSE, TYPE A  8""",SQ YD  ,AGG BASE CSE A  8,
35100800,"AGGREGATE BASE COURSE, TYPE A  9""",SQ YD  ,AGG BASE CSE A  9,
35100805,"AGGREGATE BASE COURSE, TYPE A  9.5""",SQ YD  ,AGG BASE CSE A  9.5,
35100900,"AGGREGATE BASE COURSE, TYPE A 10""",SQ YD  ,AGG BASE CSE A 10,
35101000,"AGGREGATE BASE COURSE, TYPE A 11""",SQ YD  ,AGG BASE CSE A 11,
35101100,"AGGREGATE BASE COURSE, TYPE A 12""",SQ YD  ,AGG BASE CSE A 12,
35101200,"AGGREGATE BASE COURSE, TYPE A 13""",SQ YD  ,AGG BASE CSE A 13,
35101205,"AGGREGATE BASE COURSE, TYPE A 13.5""",SQ YD  ,AGG BASE CSE A 13.5,
35101300,"AGGREGATE BASE COURSE, TYPE A 14""",SQ YD  ,AGG BASE CSE A 14,
35101350,"AGGREGATE BASE COURSE, TYPE A 15""",SQ YD  ,AGG BASE CSE A 15,
35101400,"AGGREGATE BASE COURSE, TYPE B",TON    ,AGG BASE CSE B,
35101500,"AGGREGATE BASE COURSE, TYPE B",CU YD  ,AGG BASE CSE B,
35101582,"AGGREGATE BASE COURSE, TYPE B  2""",SQ YD  ,AGG BASE CSE B  2,
35101598,"AGGREGATE BASE COURSE, TYPE B  3""",SQ YD  ,AGG BASE CSE B  3,
35101600,"AGGREGATE BASE COURSE, TYPE B  4""",SQ YD  ,AGG BASE CSE B  4,
35101700,"AGGREGATE BASE COURSE, TYPE B  5""",SQ YD  ,AGG BASE CSE B  5,
35101800,"AGGREGATE BASE COURSE, TYPE B  6""",SQ YD  ,AGG BASE CSE B  6,
35101900,"AGGREGATE BASE COURSE, TYPE B  7""",SQ YD  ,AGG BASE CSE B  7,
35102000,"AGGREGATE BASE COURSE, TYPE B  8""",SQ YD  ,AGG BASE CSE B  8,
35102100,"AGGREGATE BASE COURSE, TYPE B  9""",SQ YD  ,AGG BASE CSE B  9,
35102200,"AGGREGATE BASE COURSE, TYPE B 10""",SQ YD  ,AGG BASE CSE B 10,
35102300,"AGGREGATE BASE COURSE, TYPE B 11""",SQ YD  ,AGG BASE CSE B 11,
35102400,"AGGREGATE BASE COURSE, TYPE B 12""",SQ YD  ,AGG BASE CSE B 12,
